flight_id,flight_no,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,departure_airport,arrival_airport,aircraft_code,status,base_fare_economy
47,AC1046,2025-04-02 15:45:00,2025-04-03 03:15:00,2025-04-02 19:42:00,2025-04-03 07:12:00,GRU,DXB,321,Delayed,325.98
48,AC1047,2025-02-25 17:00:00,2025-02-26 05:12:00,2025-02-25 17:00:00,2025-02-26 05:12:00,ORD,ATL,738,On Time,797.77
49,AC1048,2025-04-27 12:00:00,2025-04-27 21:48:00,2025-04-27 12:00:00,2025-04-27 21:48:00,BLR,DXB,77W,On Time,351.24
50,AC1049,2025-05-23 16:45:00,2025-05-24 02:45:00,2025-05-23 18:39:00,2025-05-24 04:39:00,JFK,FRA,CR9,Delayed,899.57
51,AC1050,2025-04-02 13:00:00,2025-04-02 15:54:00,2025-04-02 13:00:00,2025-04-02 15:54:00,LAX,JFK,77W,On Time,724.69
52,AC1051,2025-09-19 08:45:00,2025-09-19 21:27:00,2025-09-19 08:45:00,2025-09-19 21:27:00,DEL,BLR,388,On Time,156.84
53,AC1052,2025-10-03 11:30:00,2025-10-03 18:24:00,,,BLR,DFW,388,Cancelled,884.24
54,AC1053,2025-03-05 14:30:00,2025-03-06 00:18:00,2025-03-05 14:30:00,2025-03-06 00:18:00,DXB,LAX,738,On Time,698.68
55,AC1054,2025-08-04 17:15:00,2025-08-05 02:27:00,2025-08-04 17:15:00,2025-08-05 02:27:00,CDG,ORD,32N,On Time,574.79
56,AC1055,2025-04-18 18:30:00,2025-04-19 01:48:00,2025-04-18 18:30:00,2025-04-19 01:48:00,JFK,LAX,77W,On Time,297.37
57,AC1056,2025-03-28 07:30:00,2025-03-28 15:24:00,2025-03-28 07:30:00,2025-03-28 15:24:00,BLR,AMS,CR9,On Time,398.21
58,AC1057,2025-05-01 14:15:00,2025-05-02 01:51:00,2025-05-01 14:15:00,2025-05-02 01:51:00,NRT,AMS,CR9,On Time,158.36
59,AC1058,2025-02-07 19:45:00,2025-02-08 08:21:00,2025-02-07 19:45:00,2025-02-08 08:21:00,AMS,CDG,388,On Time,716.23
60,AC1059,2025-05-05 09:00:00,2025-05-05 21:42:00,2025-05-05 09:57:00,2025-05-05 22:39:00,BOM,DEL,789,Delayed,766.09
61,AC1060,2025-12-23 21:45:00,2025-12-23 23:51:00,2025-12-23 21:45:00,2025-12-23 23:51:00,ATL,DEL,CR9,On Time,824.12
62,AC1061,2025-08-26 21:30:00,2025-08-27 10:54:00,2025-08-27 00:36:00,2025-08-27 14:00:00,BLR,CDG,CR9,Delayed,796.46
63,AC1062,2025-10-08 19:15:00,2025-10-09 06:03:00,2025-10-08 19:15:00,2025-10-09 06:03:00,GRU,AMS,789,On Time,335.13
64,AC1063,2025-05-22 21:45:00,2025-05-23 07:03:00,2025-05-22 21:45:00,2025-05-23 07:03:00,DFW,ORD,738,On Time,184.31
65,AC1064,2025-06-21 15:00:00,2025-06-21 18:12:00,2025-06-21 15:00:00,2025-06-21 18:12:00,DEL,BOM,77W,On Time,695.98
66,AC1065,2025-08-01 18:30:00,2025-08-02 02:48:00,2025-08-01 18:30:00,2025-08-02 02:48:00,SIN,DEL,321,On Time,291.67
67,AC1066,2025-10-27 05:45:00,2025-10-27 13:15:00,,,BOM,SYD,CR9,Cancelled,367.85
68,AC1067,2025-08-03 22:15:00,2025-08-04 05:51:00,2025-08-03 22:15:00,2025-08-04 05:51:00,BOM,DEL,CR9,On Time,523.08
69,AC1068,2025-12-14 17:15:00,2025-12-15 05:15:00,2025-12-14 20:24:00,2025-12-15 08:24:00,BOM,DEL,738,Delayed,563.32
70,AC1069,2025-10-16 05:00:00,2025-10-16 14:30:00,2025-10-16 05:00:00,2025-10-16 14:30:00,JNB,LHR,388,On Time,503.21
71,AC1070,2025-06-17 11:45:00,2025-06-17 17:21:00,2025-06-17 13:52:00,2025-06-17 19:28:00,JFK,LHR,789,Delayed,350.95
72,AC1071,2025-05-10 07:45:00,2025-05-10 09:27:00,2025-05-10 07:45:00,2025-05-10 09:27:00,YYZ,HKG,789,On Time,949.92
73,AC1072,2025-02-05 06:00:00,2025-02-05 19:24:00,2025-02-05 06:00:00,2025-02-05 19:24:00,DEL,SYD,738,On Time,136.92
74,AC1073,2025-08-31 08:15:00,2025-08-31 15:33:00,2025-08-31 08:15:00,2025-08-31 15:33:00,LAX,YYZ,32N,On Time,426.18
75,AC1074,2025-02-28 10:30:00,2025-02-28 13:24:00,2025-02-28 10:30:00,2025-02-28 13:24:00,FRA,CDG,738,On Time,378.92
76,AC1075,2025-07-23 11:00:00,2025-07-23 19:54:00,2025-07-23 12:32:00,2025-07-23 21:26:00,DXB,LHR,789,Delayed,204.58
77,AC1076,2025-12-17 08:00:00,2025-12-17 13:48:00,2025-12-17 08:00:00,2025-12-17 13:48:00,HKG,SIN,CR9,On Time,427.57
78,AC1077,2025-01-07 18:45:00,2025-01-07 21:33:00,2025-01-07 18:45:00,2025-01-07 21:33:00,LHR,CDG,77W,Arrived,647.54
79,AC1078,2025-03-20 18:15:00,2025-03-21 04:57:00,2025-03-20 18:15:00,2025-03-21 04:57:00,SYD,DEL,738,Arrived,344.17
80,AC1079,2025-09-05 19:45:00,2025-09-06 07:33:00,2025-09-05 19:45:00,2025-09-06 07:33:00,NRT,SIN,388,On Time,387.51
81,AC1080,2025-05-23 19:15:00,2025-05-24 06:09:00,2025-05-23 19:15:00,2025-05-24 06:09:00,DFW,LAX,321,On Time,674.6
82,AC1081,2025-06-16 10:45:00,2025-06-16 14:57:00,2025-06-16 12:42:00,2025-06-16 16:54:00,DEL,DXB,789,Delayed,352.12
83,AC1082,2025-10-12 05:15:00,2025-10-12 07:51:00,2025-10-12 05:15:00,2025-10-12 07:51:00,FRA,ATL,77W,On Time,525.52
84,AC1083,2025-09-01 20:45:00,2025-09-02 08:09:00,2025-09-01 20:45:00,2025-09-02 08:09:00,HKG,BLR,738,On Time,303.93
85,AC1084,2025-12-06 16:45:00,2025-12-07 01:09:00,2025-12-06 16:45:00,2025-12-07 01:09:00,DXB,GRU,77W,On Time,947.2
86,AC1085,2025-12-26 19:30:00,2025-12-27 00:48:00,2025-12-26 19:30:00,2025-12-27 00:48:00,CDG,JFK,77W,On Time,718.67
87,AC1086,2025-10-02 10:15:00,2025-10-02 14:27:00,2025-10-02 10:15:00,2025-10-02 14:27:00,DEL,BLR,738,On Time,721.41
88,AC1087,2025-11-02 14:00:00,2025-11-03 01:54:00,2025-11-02 14:00:00,2025-11-03 01:54:00,AMS,DFW,388,On Time,419.53
89,AC1088,2025-10-01 09:30:00,2025-10-01 11:36:00,2025-10-01 09:30:00,2025-10-01 11:36:00,DEL,BOM,738,On Time,362.47
90,AC1089,2025-09-09 08:00:00,2025-09-09 16:42:00,2025-09-09 08:00:00,2025-09-09 16:42:00,YYZ,LHR,738,On Time,485.59
91,AC1090,2025-05-10 20:00:00,2025-05-11 07:48:00,2025-05-10 20:00:00,2025-05-11 07:48:00,ORD,DXB,321,On Time,181.49
92,AC1091,2025-03-19 09:30:00,2025-03-19 12:06:00,2025-03-19 09:30:00,2025-03-19 12:06:00,DXB,DFW,321,On Time,583.2
93,AC1092,2025-11-13 12:45:00,2025-11-13 19:51:00,2025-11-13 12:45:00,2025-11-13 19:51:00,BOM,SIN,388,On Time,833.94
94,AC1093,2025-10-19 06:00:00,2025-10-19 19:18:00,2025-10-19 06:00:00,2025-10-19 19:18:00,AMS,SIN,77W,On Time,295.15
95,AC1094,2025-05-03 10:00:00,2025-05-03 13:30:00,2025-05-03 10:00:00,2025-05-03 13:30:00,DXB,BOM,32N,On Time,692.18
96,AC1095,2025-04-29 14:30:00,2025-04-30 00:48:00,2025-04-29 14:30:00,2025-04-30 00:48:00,BLR,JNB,321,On Time,690.53
97,AC1096,2025-11-17 11:45:00,2025-11-17 14:39:00,2025-11-17 11:45:00,2025-11-17 14:39:00,JNB,AMS,CR9,On Time,243.66
98,AC1097,2025-02-06 06:15:00,2025-02-06 17:39:00,2025-02-06 06:15:00,2025-02-06 17:39:00,DFW,SYD,32N,On Time,804.12
99,AC1098,2025-03-05 19:30:00,2025-03-06 05:42:00,,,JNB,GRU,789,Cancelled,535.39
100,AC1099,2025-11-03 06:45:00,2025-11-03 17:27:00,2025-11-03 06:45:00,2025-11-03 17:27:00,LHR,LAX,321,On Time,141.47
101,AC1100,2025-10-22 05:30:00,2025-10-22 14:12:00,2025-10-22 05:30:00,2025-10-22 14:12:00,ATL,DXB,738,On Time,265.41
102,AC1101,2025-05-23 10:45:00,2025-05-23 20:09:00,2025-05-23 10:45:00,2025-05-23 20:09:00,LHR,DXB,789,On Time,195.73
103,AC1102,2025-06-14 08:15:00,2025-06-14 13:51:00,2025-06-14 08:15:00,2025-06-14 13:51:00,DEL,NRT,77W,On Time,359.22
104,AC1103,2025-10-09 06:45:00,2025-10-09 09:21:00,2025-10-09 06:45:00,2025-10-09 09:21:00,YYZ,CDG,CR9,On Time,216.21
105,AC1104,2025-09-21 05:45:00,2025-09-21 12:27:00,2025-09-21 05:45:00,2025-09-21 12:27:00,HKG,SIN,CR9,On Time,420.28
106,AC1105,2025-08-15 06:15:00,2025-08-15 11:03:00,2025-08-15 06:15:00,2025-08-15 11:03:00,HKG,BOM,738,On Time,359.06
107,AC1106,2025-03-04 05:15:00,2025-03-04 15:39:00,2025-03-04 05:15:00,2025-03-04 15:39:00,GRU,DXB,789,On Time,131.35
108,AC1107,2025-02-28 19:00:00,2025-03-01 04:36:00,2025-02-28 19:00:00,2025-03-01 04:36:00,BOM,DXB,32N,On Time,894.1
109,AC1108,2025-05-20 18:45:00,2025-05-21 08:33:00,2025-05-20 18:45:00,2025-05-21 08:33:00,DEL,BOM,738,On Time,577.55
110,AC1109,2025-09-18 09:00:00,2025-09-18 14:00:00,2025-09-18 09:00:00,2025-09-18 14:00:00,BOM,DEL,388,On Time,464.4
111,AC1110,2025-05-17 05:30:00,2025-05-17 16:06:00,2025-05-17 08:28:00,2025-05-17 19:04:00,YYZ,DEL,388,Delayed,949.09
112,AC1111,2025-08-17 22:45:00,2025-08-18 04:33:00,2025-08-17 22:45:00,2025-08-18 04:33:00,LHR,JFK,32N,On Time,571.05
113,AC1112,2025-04-07 12:45:00,2025-04-07 17:09:00,2025-04-07 13:26:00,2025-04-07 17:50:00,BLR,LHR,77W,Delayed,384.09
114,AC1113,2025-07-15 17:15:00,2025-07-16 00:57:00,2025-07-15 17:15:00,2025-07-16 00:57:00,BLR,AMS,CR9,On Time,536.9
115,AC1114,2025-02-21 19:00:00,2025-02-22 03:06:00,2025-02-21 19:00:00,2025-02-22 03:06:00,FRA,JFK,CR9,On Time,719.63
116,AC1115,2025-03-21 07:45:00,2025-03-21 19:03:00,2025-03-21 07:45:00,2025-03-21 19:03:00,BOM,DXB,738,On Time,637.31
117,AC1116,2025-06-18 22:45:00,2025-06-19 12:09:00,2025-06-18 22:45:00,2025-06-19 12:09:00,BOM,DXB,321,On Time,856.57
118,AC1117,2025-01-19 07:15:00,2025-01-19 16:39:00,,,LHR,JFK,388,Cancelled,947.86
119,AC1118,2025-02-20 08:45:00,2025-02-20 12:21:00,2025-02-20 08:45:00,2025-02-20 12:21:00,HKG,JFK,789,On Time,144.03
120,AC1119,2025-05-31 16:30:00,2025-05-31 23:24:00,2025-05-31 16:30:00,2025-05-31 23:24:00,DEL,LHR,321,On Time,462.0
121,AC1120,2025-03-29 10:00:00,2025-03-29 19:06:00,2025-03-29 10:00:00,2025-03-29 19:06:00,DXB,CDG,32N,On Time,687.0
122,AC1121,2025-03-15 12:45:00,2025-03-15 22:15:00,2025-03-15 12:45:00,2025-03-15 22:15:00,LHR,ATL,388,On Time,673.48
123,AC1122,2025-05-28 22:15:00,2025-05-29 00:39:00,,,JNB,ATL,789,Cancelled,939.75
124,AC1123,2025-12-20 13:45:00,2025-12-21 01:51:00,2025-12-20 13:45:00,2025-12-21 01:51:00,DEL,BOM,789,On Time,439.3
125,AC1124,2025-07-15 16:30:00,2025-07-16 06:24:00,2025-07-15 16:30:00,2025-07-16 06:24:00,LHR,JFK,32N,On Time,931.69
126,AC1125,2025-01-05 06:45:00,2025-01-05 18:39:00,2025-01-05 10:33:00,2025-01-05 22:27:00,DXB,BOM,77W,Delayed,783.05
127,AC1126,2025-04-23 11:30:00,2025-04-23 21:30:00,2025-04-23 14:48:00,2025-04-24 00:48:00,FRA,DXB,77W,Delayed,685.11
128,AC1127,2025-11-18 06:30:00,2025-11-18 17:54:00,2025-11-18 06:30:00,2025-11-18 17:54:00,LAX,CDG,321,On Time,422.83
129,AC1128,2025-06-17 18:15:00,2025-06-17 22:15:00,2025-06-17 20:18:00,2025-06-18 00:18:00,LAX,BOM,77W,Delayed,560.61
130,AC1129,2025-03-26 13:45:00,2025-03-27 03:21:00,2025-03-26 13:45:00,2025-03-27 03:21:00,JNB,SIN,CR9,On Time,842.43
131,AC1130,2025-02-08 09:15:00,2025-02-08 21:33:00,2025-02-08 11:26:00,2025-02-08 23:44:00,NRT,CDG,789,Delayed,922.83
132,AC1131,2025-02-16 17:00:00,2025-02-16 21:48:00,2025-02-16 17:00:00,2025-02-16 21:48:00,NRT,CDG,77W,On Time,425.93
133,AC1132,2025-10-27 17:30:00,2025-10-27 20:24:00,2025-10-27 17:30:00,2025-10-27 20:24:00,HKG,LAX,77W,On Time,140.77
134,AC1133,2025-06-17 12:00:00,2025-06-17 21:24:00,2025-06-17 12:00:00,2025-06-17 21:24:00,GRU,HKG,388,On Time,701.89
135,AC1134,2025-03-13 06:00:00,2025-03-13 11:18:00,2025-03-13 06:00:00,2025-03-13 11:18:00,DXB,BOM,321,On Time,200.67
136,AC1135,2025-07-18 19:30:00,2025-07-19 05:24:00,2025-07-18 19:30:00,2025-07-19 05:24:00,GRU,SYD,32N,On Time,905.16
137,AC1136,2025-03-21 18:00:00,2025-03-22 05:54:00,2025-03-21 18:00:00,2025-03-22 05:54:00,BOM,NRT,738,On Time,899.41
138,AC1137,2025-07-09 11:45:00,2025-07-09 18:51:00,2025-07-09 11:45:00,2025-07-09 18:51:00,DEL,ATL,738,On Time,421.03
139,AC1138,2025-10-06 16:00:00,2025-10-06 22:30:00,2025-10-06 16:00:00,2025-10-06 22:30:00,AMS,BLR,77W,On Time,221.39
140,AC1139,2025-02-16 11:00:00,2025-02-16 13:06:00,2025-02-16 11:00:00,2025-02-16 13:06:00,SYD,HKG,789,On Time,940.72
141,AC1140,2025-02-05 22:15:00,2025-02-06 07:03:00,2025-02-05 23:44:00,2025-02-06 08:32:00,HKG,AMS,32N,Delayed,392.7
142,AC1141,2025-01-02 13:15:00,2025-01-03 03:03:00,2025-01-02 13:15:00,2025-01-03 03:03:00,LAX,GRU,388,On Time,782.77
143,AC1142,2025-01-14 09:00:00,2025-01-14 15:00:00,2025-01-14 12:00:00,2025-01-14 18:00:00,LAX,JFK,CR9,Delayed,388.73
144,AC1143,2025-03-06 18:00:00,2025-03-07 04:48:00,2025-03-06 18:00:00,2025-03-07 04:48:00,ORD,DEL,321,On Time,765.75
145,AC1144,2025-08-20 21:15:00,2025-08-21 10:33:00,2025-08-20 21:15:00,2025-08-21 10:33:00,LHR,DXB,321,On Time,770.08
146,AC1145,2025-06-04 19:00:00,2025-06-04 21:18:00,2025-06-04 19:00:00,2025-06-04 21:18:00,GRU,ORD,388,On Time,453.34
147,AC1146,2025-12-31 19:00:00,2026-01-01 07:42:00,2025-12-31 19:00:00,2026-01-01 07:42:00,DXB,HKG,789,On Time,243.12
148,AC1147,2025-11-21 22:30:00,2025-11-22 04:48:00,2025-11-21 22:30:00,2025-11-22 04:48:00,LAX,ORD,388,On Time,364.77
149,AC1148,2025-02-20 08:15:00,2025-02-20 15:09:00,2025-02-20 10:30:00,2025-02-20 17:24:00,LHR,CDG,789,Delayed,401.31
150,AC1149,2025-02-18 15:45:00,2025-02-18 21:09:00,2025-02-18 15:45:00,2025-02-18 21:09:00,BLR,BOM,789,On Time,911.48
151,AC1150,2025-02-04 07:00:00,2025-02-04 09:42:00,2025-02-04 07:00:00,2025-02-04 09:42:00,DXB,HKG,789,On Time,733.2
152,AC1151,2025-01-31 22:30:00,2025-02-01 08:24:00,2025-01-31 22:30:00,2025-02-01 08:24:00,NRT,SYD,388,On Time,845.09
153,AC1152,2025-01-27 14:30:00,2025-01-27 20:24:00,2025-01-27 14:30:00,2025-01-27 20:24:00,YYZ,LHR,789,On Time,296.57
154,AC1153,2025-02-25 16:30:00,2025-02-25 19:24:00,2025-02-25 16:30:00,2025-02-25 19:24:00,DXB,BOM,32N,On Time,307.71
155,AC1154,2025-11-15 22:00:00,2025-11-16 07:06:00,2025-11-15 22:00:00,2025-11-16 07:06:00,BLR,JFK,388,On Time,695.58
156,AC1155,2025-12-26 14:30:00,2025-12-26 20:24:00,2025-12-26 14:30:00,2025-12-26 20:24:00,JFK,DEL,77W,On Time,238.9
157,AC1156,2025-03-14 05:00:00,2025-03-14 15:48:00,2025-03-14 05:00:00,2025-03-14 15:48:00,DXB,BOM,321,On Time,468.46
158,AC1157,2025-06-09 15:00:00,2025-06-10 03:30:00,2025-06-09 15:00:00,2025-06-10 03:30:00,DEL,DXB,77W,On Time,746.18
159,AC1158,2025-05-20 19:45:00,2025-05-21 03:21:00,2025-05-20 19:45:00,2025-05-21 03:21:00,JFK,LHR,321,On Time,346.73
160,AC1159,2025-06-26 18:00:00,2025-06-26 23:00:00,2025-06-26 18:00:00,2025-06-26 23:00:00,HKG,DEL,321,On Time,523.91
161,AC1160,2025-04-23 17:00:00,2025-04-23 18:36:00,2025-04-23 17:00:00,2025-04-23 18:36:00,DXB,LHR,321,On Time,295.32
162,AC1161,2025-05-29 15:00:00,2025-05-29 16:36:00,2025-05-29 16:14:00,2025-05-29 17:50:00,LAX,CDG,77W,Delayed,227.22
163,AC1162,2025-09-14 22:30:00,2025-09-15 00:54:00,2025-09-14 23:10:00,2025-09-15 01:34:00,LHR,JNB,32N,Delayed,482.06
164,AC1163,2025-06-10 18:45:00,2025-06-11 05:09:00,2025-06-10 18:45:00,2025-06-11 05:09:00,BLR,DXB,321,On Time,215.59
165,AC1164,2025-03-29 19:30:00,2025-03-29 22:06:00,2025-03-29 21:02:00,2025-03-29 23:38:00,JFK,LAX,77W,Delayed,481.61
166,AC1165,2025-07-22 14:30:00,2025-07-22 18:48:00,2025-07-22 14:30:00,2025-07-22 18:48:00,BOM,DXB,321,On Time,183.39
167,AC1166,2025-09-19 11:30:00,2025-09-19 17:24:00,2025-09-19 11:30:00,2025-09-19 17:24:00,DXB,DEL,388,Arrived,655.72
168,AC1167,2025-03-16 13:15:00,2025-03-16 16:57:00,2025-03-16 13:15:00,2025-03-16 16:57:00,LAX,GRU,321,On Time,750.1
169,AC1168,2025-11-18 20:45:00,2025-11-19 07:39:00,2025-11-18 20:45:00,2025-11-19 07:39:00,JFK,DXB,CR9,On Time,492.59
170,AC1169,2025-11-26 15:30:00,2025-11-26 18:54:00,2025-11-26 15:30:00,2025-11-26 18:54:00,JNB,AMS,388,On Time,487.03
171,AC1170,2025-10-30 06:30:00,2025-10-30 14:18:00,2025-10-30 06:30:00,2025-10-30 14:18:00,DEL,BOM,77W,On Time,495.09
172,AC1171,2025-05-27 07:00:00,2025-05-27 16:12:00,2025-05-27 07:00:00,2025-05-27 16:12:00,JFK,CDG,CR9,On Time,504.05
173,AC1172,2025-01-22 19:15:00,2025-01-23 00:45:00,2025-01-22 19:15:00,2025-01-23 00:45:00,CDG,ORD,CR9,On Time,245.21
174,AC1173,2025-06-25 07:15:00,2025-06-25 09:15:00,2025-06-25 07:15:00,2025-06-25 09:15:00,JFK,CDG,321,On Time,942.52
175,AC1174,2025-03-23 16:30:00,2025-03-24 05:30:00,2025-03-23 16:30:00,2025-03-24 05:30:00,LHR,SIN,388,On Time,762.81
176,AC1175,2025-11-20 15:00:00,2025-11-20 20:36:00,2025-11-20 15:00:00,2025-11-20 20:36:00,DXB,LHR,321,On Time,440.85
177,AC1176,2025-12-03 09:30:00,2025-12-03 12:00:00,2025-12-03 09:30:00,2025-12-03 12:00:00,DFW,BOM,CR9,On Time,880.9
178,AC1177,2025-12-24 17:15:00,2025-12-25 02:09:00,,,DEL,BLR,738,Cancelled,376.95
179,AC1178,2025-06-18 09:00:00,2025-06-18 18:36:00,2025-06-18 09:00:00,2025-06-18 18:36:00,BOM,DEL,CR9,On Time,420.32
180,AC1179,2025-04-20 15:45:00,2025-04-20 19:39:00,2025-04-20 15:45:00,2025-04-20 19:39:00,BOM,ATL,32N,Arrived,248.6
